LMK_KEY,IMPROVEMENT_ITEM,IMPROVEMENT_SUMMARY_TEXT,IMPROVEMENT_DESCR_TEXT,IMPROVEMENT_ID,IMPROVEMENT_ID_TEXT,INDICATIVE_COST
1b38aa02562e2b2ffaae48b09e2433c32e3dce0834c683bc5c59ba3fd9ae6340,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1b72259d555d9ac2e95893267a84f84b433521891b4d807eb02c66ed137deac2,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1b72259d555d9ac2e95893267a84f84b433521891b4d807eb02c66ed137deac2,2,Add additional 80 mm jacket to hot water cylinder,Add additional 80 mm jacket to hot water cylinder,3,,£15 - £30
1b72259d555d9ac2e95893267a84f84b433521891b4d807eb02c66ed137deac2,3,Low energy lighting for all fixed outlets,Low energy lighting,35,,£25
1b72e11839712d231a040a2999240a38fca83a9a7bb91979df1df9ea7bfe70c9,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1b72e11839712d231a040a2999240a38fca83a9a7bb91979df1df9ea7bfe70c9,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
1b72e11839712d231a040a2999240a38fca83a9a7bb91979df1df9ea7bfe70c9,3,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
1b9d39f34d35ffdc5ee5932cb73c120073d07ed6dba6fb795d881f82a14e0b67,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1b9f7c1787723ae5086728cc15a201056d71b8eadf73feac498fdc78e55185ff,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1ba6778bb126e8880230138f406ca27c67d09805ad6c8cc4f350e2b871ad6c2b,1,Increase hot water cylinder insulation,Increase hot water cylinder insulation,2,,£15 - £30
1ba6778bb126e8880230138f406ca27c67d09805ad6c8cc4f350e2b871ad6c2b,2,High performance external doors,High performance external doors,48,,"£1,500"
1bd96ca3f5929e7e92068fd3bf4d9a4b80061b48b1f95c95aaf703650658977c,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1beb9b3686bcb7f16547411c1e9815c49928b16187717f078bd99c48dc47e924,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1c3c352933dfef55c17c95c7bdc84e1598e9a9702f31847bc375a6c4f6347633,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1c3c352933dfef55c17c95c7bdc84e1598e9a9702f31847bc375a6c4f6347633,2,Floor insulation (suspended floor),Floor insulation (suspended floor),57,,"£800 - £1,200"
1c3c352933dfef55c17c95c7bdc84e1598e9a9702f31847bc375a6c4f6347633,3,Low energy lighting for all fixed outlets,Low energy lighting,35,,£30
1c95646ce3381a0a733181b12d7299c0d61659f06810c1cdf7742ab7596f751f,1,Increase hot water cylinder insulation,Increase hot water cylinder insulation,2,,£15 - £30
1c95646ce3381a0a733181b12d7299c0d61659f06810c1cdf7742ab7596f751f,2,High performance external doors,High performance external doors,48,,"£1,500"
1cb94c9c9a02882458ebe212ef76468b973d0d8c11de1504ee279b38f8b0cdc7,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1ce55de0bd15f644e73883346dde9913b064f26a3c87b89bf01f751bef90f8c5,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1d02b98b60aeeac91f788555ee1c08e8d92b6ccf849223de9740c033320a3cb3,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1d12f32a62bbb2538363050bbe18db1fdf093eb9f436c4c356db0e559ed7285a,1,Internal or external wall insulation,Internal or external wall insulation,7,,"£4,000 - £14,000"
1d12f32a62bbb2538363050bbe18db1fdf093eb9f436c4c356db0e559ed7285a,2,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
1d3af7915e31f9a05d14bdd2c985b0643ea48fab84f629c2695d52c8560c832d,1,Cavity wall insulation,Cavity wall insulation,6,,"£500 - £1,500"
1d43831244945107cd18359569a0a87f73edf81a98bfaf717497fc1ac3819bec,1,Floor insulation (solid floor),Floor insulation (solid floor),58,,"£4,000 - £6,000"
1d43831244945107cd18359569a0a87f73edf81a98bfaf717497fc1ac3819bec,2,Low energy lighting for all fixed outlets,Low energy lighting,35,,£10
