OBJECTID,NAME,ESTATE_NAM,ESTATE_COD,Shape__Area,Shape__Length
118,TEIGNMOUTH CLOSE FLATS,TEIGNMOUTH CLOSE FLATS,EB110,1885.33206939697,231.950219751136
119,VIRGINIA WALK,VIRGINIA WALK ESTATE,EB115,2717.48525238037,241.207024285534
120,ZAIRE COURT,ZAIRE COURT ESTATE,EB121,856.95824432373,150.295091081402
121,CALDWELL GARDENS,CALDWELL GARDENS ESTATE,EA019,15044.176902771,920.328366829593
122,CHINA WALK,CHINA WALK ESTATE,EA026,41220.4853973389,1289.67964037336
123,CLAPHAM ROAD,CLAPHAM ROAD ESTATE,EA029,17443.5148620605,804.897974218397
124,ETHELRED TOWERS,ETHELRED TOWERS ESTATE,EA043,8640.96559906006,419.569730787367
125,FENWICK,FENWICK ESTATE,EA044,37237.2230987549,808.573650679503
126,GASKELL STREET,GASKELL STREET ESTATE,EA047,23945.5491638184,1142.36795505434
127,HEMANS,HEMANS ESTATE,EA052,18160.1340789795,1054.00512317595
128,HOLLAND TOWN,HOLLAND TOWN ESTATE,EA056,26613.4628448486,1032.92276208151
129,LARKHALL,LARKHALL ESTATE,EA068,23172.0291061401,736.098110560259
130,MAWBEY BROUGH,MAWBEY BROUGH ESTATE,EA076,43061.0050354004,1239.21962269688
131,MURSELL,MURSELL ESTATE,EA079,40719.1711502075,1355.47601284123
132,MYATTS FIELD SOUTH,MYATTS FIELD SOUTH ESTATE,EA081,50114.1474761963,1570.11080338009
133,PENWITH MANOR,PENWITH MANOR ESTATE,EA087,19670.634223938,736.193113425725
134,SOUTH LAMBETH,SOUTH LAMBETH ESTATE,EA102,18142.4765167236,634.221063854258
135,SPRINGFIELD,SPRINGFIELD ESTATE,EA104,73091.2951889038,2984.44225757874
136,SPURGEON,SPURGEON ESTATE,EA105,28501.4257583618,1029.69863726014
137,TANSWELL,TANSWELL ESTATE,EA111,19583.3839111328,976.513870785165
138,VAUXHALL GARDENS,VAUXHALL GARDENS ESTATE,EA117,95379.6587905884,2864.56688449211
139,WYVIL,WYVIL ESTATE,EA130,26002.8998718262,718.222444639036
140,BLACK PRINCE ROAD,BLACK PRINCE ROAD ESTATE,EA009,10408.462928772,596.944393947072
141,BRIANT,BRIANT ESTATE,EA016,10989.6322555542,621.877439273128
142,FOXLEY ROAD,FOXLEY ROAD ESTATE,EA046,814.889991760254,121.388081297062
143,GAUDEN,GAUDEN ESTATE,EA048,7176.97305297852,527.794113922459
144,HOLLAND WHITEBEAM,HOLLAND WHITEBEAM ESTATE,EA057,6144.57632446289,338.975759448028
